url,category,poster,title,rating,duration,year,genre,language,synopsis,director,cast
https://www.visionplus.id/movies/658/ke-sorga-naik-sepeda,FTV Religi,https://static.mncnow.id/images/vod/b4586f0b/a039_r32.jpg,Ke Sorga Naik Sepeda,R,1h 11m,2013,Drama,"English, Bahasa","Ayah yang selalu ingin anaknya bahagia. Dengan sepeda yang diinginkan sang anak, sang ayah berusaha keras untuk mendapatkannya. Dan mengajarkan anaknya untuk selalu bersabar dan taat berdoa.",Rako Prijanto,"Debby Sahertian, Sultan Djorghi, Annisa Trihapsari, Nabila Chaerunisa, Fera Feriska, Ravi Romario"
https://www.visionplus.id/movies/657/marbot-masjid-naikkan-haji-emak,FTV Religi,https://static.mncnow.id/images/vod/f8cf3740/232a_r32.jpg,Ke Sorga Naik Sepeda,R,1h 11m,2013,Drama,"English, Bahasa","Ayah yang selalu ingin anaknya bahagia. Dengan sepeda yang diinginkan sang anak, sang ayah berusaha keras untuk mendapatkannya. Dan mengajarkan anaknya untuk selalu bersabar dan taat berdoa.",Rako Prijanto,"Debby Sahertian, Sultan Djorghi, Annisa Trihapsari, Nabila Chaerunisa, Fera Feriska, Ravi Romario"
https://www.visionplus.id/movies/655/mengapa-mama-membenciku,FTV Religi,https://static.mncnow.id/images/vod/4b6f6017/1ff5_r32.jpg,Mengapa Mama Membenciku,BO,1h 0m,2012,Drama,"English, Bahasa","Berawal dari kasus penculikan, sang penculik bayi menaruh bayi di gerobak pemulung dan akhirnya bayi tersebut dirawat oleh pemulung. Tetapi setelah besar anak itu dimanfaatkan untuk mencari uang. Sampai akhirnya anak tersebut bertemu lagi dengan kedua orang tua kandungnya.",Asep Khemuning,"Gito Gilas, Nabila Putri, Salsabilla Elovii"
https://www.visionplus.id/movies/653/pintu-maaf-untuk-istri-yang-dzalim,FTV Religi,https://static.mncnow.id/images/vod/14b62c9b/f4e3_r32.jpg,Mengapa Mama Membenciku,BO,1h 0m,2012,Drama,"English, Bahasa","Berawal dari kasus penculikan, sang penculik bayi menaruh bayi di gerobak pemulung dan akhirnya bayi tersebut dirawat oleh pemulung. Tetapi setelah besar anak itu dimanfaatkan untuk mencari uang. Sampai akhirnya anak tersebut bertemu lagi dengan kedua orang tua kandungnya.",Asep Khemuning,"Gito Gilas, Nabila Putri, Salsabilla Elovii"
https://www.visionplus.id/movies/652/sejengkal-tanah-surga,FTV Religi,https://static.mncnow.id/images/vod/feca5e2f/f4f9_r32.jpg,Sejengkal Tanah Surga,D,1h 19m,2016,Drama,"English, Bahasa","Rencana nyekar sang ibu di Jogja ternyata menuai masalah, masalah keluarga dan masalah lainnya. Dan pada akhirnya semua terungkap dengan jelas. Apakah yang sudah terjadi di antara keluarga mereka ?",Hanny Mustofa,"Citra Kirana, Vira Yuniar, kevin, Chantika Zahra"
https://www.visionplus.id/movies/649/suara-malaikat,FTV Religi,https://static.mncnow.id/images/vod/adedb7c7/0374_r32.jpg,Sejengkal Tanah Surga,D,1h 19m,2016,Drama,"English, Bahasa","Rencana nyekar sang ibu di Jogja ternyata menuai masalah, masalah keluarga dan masalah lainnya. Dan pada akhirnya semua terungkap dengan jelas. Apakah yang sudah terjadi di antara keluarga mereka ?",Hanny Mustofa,"Citra Kirana, Vira Yuniar, kevin, Chantika Zahra"
https://www.visionplus.id/movies/647/jakarta-sunyi-sekali-malam-hari,FTV Religi,https://static.mncnow.id/images/vod/b04bd3a3/55c4_r32.jpg,Jakarta Sunyi Sekali Malam Hari,D,1h 29m,2013,Drama,"English, Bahasa",Cerita tentang seorang ibu yang memiliki tiga orang anak. Yang pertama dan kedua tinggal di luar negeri. Sedangkan anak terakhir tinggal di Jakarta. Ketika di hubungi anak yang tinggal di Jakarta selalu tidak bisa. Akhirnya sang ibu mencari anaknya ke Jakarta sendirian.,Maruli Ara,"Vira Yuniar, Dhini Aminarti, Widyawati Sophian, Teuku Ryan, Fathir Muchtar"
https://www.visionplus.id/movies/646/panjangkan-usia-ibu-ya-allah,FTV Religi,https://static.mncnow.id/images/vod/06a7a23f/aa08_r32.jpeg,,,,,,,,,
https://www.visionplus.id/movies/643/aku-diperbudak-ibu-tiriku,FTV Religi,https://static.mncnow.id/images/vod/c61bffc4/53a7_r32.jpg,Aku Diperbudak Ibu Tiriku,D,0h 59m,2012,Drama,"English, Bahasa","Syarifah tega mempekerjakan anaknya, Fitri sebagai kuli angkut di terminal kota Jakarta, setelah dirinya ditinggalkan oleh suami dan memilih untuk merantau ke Jakarta bersama Fitri. Bagaimana kisah kelanjutan hubungan ibu-anak antara Fitri dan Syarifah ?",Hanny Mustofa,"Donna Harun, Donny Hudianto, Christabelle, George Taka, Digna Faradiba"
https://www.visionplus.id/movies/640/ya-allah-ijinkan-aku-menguburkan-anakku,FTV Religi,https://static.mncnow.id/images/vod/b8bab190/205a_r32.jpg,Aku Diperbudak Ibu Tiriku,D,0h 59m,2012,Drama,"English, Bahasa","Syarifah tega mempekerjakan anaknya, Fitri sebagai kuli angkut di terminal kota Jakarta, setelah dirinya ditinggalkan oleh suami dan memilih untuk merantau ke Jakarta bersama Fitri. Bagaimana kisah kelanjutan hubungan ibu-anak antara Fitri dan Syarifah ?",Hanny Mustofa,"Donna Harun, Donny Hudianto, Christabelle, George Taka, Digna Faradiba"
