tenant_page_url,tenant_logo_url,category,subcategory,tenant_name,tenant_photo_url,buildings,floors,products,where_to_park,pickup_point_stripped,takeaway,contact_phone_stripped,catalogue,whatsapp_chat,go_food,grab_food,shopee_food
https://www.malkelapagading.com/directory/imax,http://images.malkelapagading.com/tenant/IMAX-Theatrelogo.jpg,Shopping,Entertainments,IMAX Theatre,http://images.malkelapagading.com/tenant/IMAX-Theatrefoto.jpg,['MKG-2'],['Lantai 3 Rooftop 02'],3D Film,Gedung Parkir 3 Lantai 3,,,02145853821,,,,,
https://www.malkelapagading.com/directory/imperial-kitchen,http://images.malkelapagading.com/tenant/Imperial-Kitchenlogo-6.jpg,,Dining,Imperial Kitchen,http://images.malkelapagading.com/tenant/Imperial-Kitchenfoto-74.jpg,['MKG-1'],['Lantai 1 264'],Chinese Food & Dimsum,,,,628118651500,,available,,available,available
https://www.malkelapagading.com/directory/innisfree,http://images.malkelapagading.com/tenant/Innisfreelogo2.jpg,Shopping,Health & Beauty,Innisfree,,['MKG-3'],['Lantai 1 15'],"Kosmetik, produk perawatan kulit dan badan",Gedung Parkir 3 Basement,,,,,,,,
https://www.malkelapagading.com/directory/intime,http://images.malkelapagading.com/tenant/INTimelogo-53.png,Shopping,Fashion & Accesories,INTime,http://images.malkelapagading.com/tenant/INTimefoto-63.png,['MKG-3'],['Lantai Dasar 42'],"Jam tangan mewah, watches, rolex",Gedung Parkir 3 Basement P1/P1A,,,02145848977,available,available,,,
https://www.malkelapagading.com/directory/ippeke-komachi,http://images.malkelapagading.com/tenant/Ippeke-Komachilogo.jpg,Dining,F & B Delivery,Ippeke Komachi,http://images.malkelapagading.com/tenant/Ippeke-Komachifoto.jpg,['MKG-3'],['Lantai Dasar 38A-B'],"Roll Sushi, Gunkan Sushi, Nigiri Sushi, Sashimi, Salad & Soup, Curry Rice, Kamameshi, Rice Bowl, Ramen, Udon, Teppan Set, Tempura, Fry Set, Grill Set, Okonomiyaki, Takoyaki, Ogura Ice Cream",Gedung Parkir 3 Basement,,allowed,02145853720,,available,available,,
https://www.malkelapagading.com/directory/irwan-team,http://images.malkelapagading.com/tenant/Irwan-Team-Salonlogo1.jpg,Shopping,Health & Beauty,Irwan Team Salon,http://images.malkelapagading.com/tenant/Irwan-Team-Salonfoto.jpg,['MKG-3'],['Lantai 1 29'],"Jasa salon, gunting rambut, cat rambut, creambath",Gedung Parkir 3,,,02145853577,,available,,,
https://www.malkelapagading.com/directory/ixobox,http://images.malkelapagading.com/tenant/Ixoboxlogo2.jpg,Shopping,Health & Beauty,Ixobox,http://images.malkelapagading.com/tenant/Ixoboxfoto3.jpg,['MKG-1'],['Lantai 1 275'],"Trim & cut, hair, salon","Parkir Basement, L5/L6",,,,,,,,
https://www.malkelapagading.com/directory/jack-and-john-kitchen,http://images.malkelapagading.com/tenant/Jack-John-Kitchenlogo-61.jpg,Dining,F & B Delivery,Jack & John Kitchen,http://images.malkelapagading.com/tenant/Jack-John-Kitchenfoto-66.jpg,['MKG-3'],['Lantai Dasar 59B'],"Babi Kecap, Babi Kriuk, Babi Pedas",Gedung Parkir 3/5 Basement,,allowed,087775549555,available,available,available,available,
https://www.malkelapagading.com/directory/jack-nicklaus,http://images.malkelapagading.com/tenant/Jack-Nicklauslogo.jpg,Shopping,Fashion & Accesories,Jack Nicklaus,http://images.malkelapagading.com/tenant/Jack-Nicklausfoto.jpg,['MKG-2'],"['Lantai 1 236,238']",Pakaian & tas,Gedung Parkir 2 Lt. 2 P2/P2A,,,02145853585,,,,,
https://www.malkelapagading.com/directory/janji-jiwa-toast,http://images.malkelapagading.com/tenant/Pizza-Pezzologo1.jpg,Dining,Food Temptation,Janji Jiwa Toast,http://images.malkelapagading.com/tenant/Pizza-Pezzofoto1.jpg,['MKG-3'],['Lantai 3 K-10'],Roti Panggang,Gedung Parkir 3/5,,,,,,,,
